headline,label
You Won't Believe What This Celebrity Did Next,1
Scientists Discover New Species of Deep-Sea Fish,0
10 Shocking Secrets Your Doctor Doesn't Want You to Know,1
Government Announces New Infrastructure Budget Plan,0
This One Weird Trick Will Make You Rich Overnight,1
Study Shows Link Between Exercise and Mental Health,0
We Tried Every Fast Food Burger So You Don't Have To,1
Parliament Passes New Environmental Protection Bill,0
What Happened Next Will Leave You Speechless,1
Central Bank Raises Interest Rates by 25 Basis Points,0
Only Geniuses Can Solve This Simple Math Problem,1
Local Hospital Opens New Pediatric Care Unit,0
This Dog Did Something That Made Everyone Cry,1
Annual Report Shows Steady Growth in Renewable Energy,0
You've Been Eating Pizza Wrong Your Entire Life,1
University Researchers Publish Findings on Climate Patterns,0
The Truth About Your Favorite Childhood Snacks Will Shock You,1
City Council Approves New Public Transport Routes,0
Can You Spot What's Wrong With This Photo?,1
Tech Giant Reports Quarterly Earnings Above Expectations,0
21 Things Only 90s Kids Will Understand,1
New Policy Aims to Reduce Urban Homelessness,0
This Mom's Lunchbox Note Went Viral and Here's Why,1
Scientists Confirm Water Ice Deposits on Mars Surface,0
"He Started With Nothing,  Now He Owns 5 Companies",1
Annual Inflation Rate Drops to Lowest Level in Two Years,0
The Internet Is Divided Over This Dress Color Again,1
World Health Organization Issues Flu Season Advisory,0
This Simple Habit Changed My Life Forever,1
Engineers Complete Restoration of Historic City Bridge,0
Which Disney Princess Are You Based on Your Zodiac Sign?,1
National Museum Acquires Rare 18th Century Manuscript,0
Doctors Hate Him for Discovering This Weight Loss Secret,1
New Study Links Screen Time to Sleep Disruption in Teens,0
This Photo Went Viral Because Nobody Can Explain It,1
International Summit Reaches Agreement on Trade Terms,0
I Quit My Job and Traveled the World — Here Is What I Learned,1
Agricultural Ministry Releases Annual Crop Yield Report,0
13 Foods You Should Never Eat After Age 40,1
New Bridge Connecting Two Cities Opens to Traffic,0
What Your Sleeping Position Reveals About Your Personality,1
Space Agency Successfully Launches Communication Satellite,0
People Are Losing Their Minds Over This Optical Illusion,1
Health Ministry Launches National Vaccination Drive,0
This Teacher's Reaction to Her Students Is Going Viral,1
Regional Elections Show Shift in Voter Demographics,0
We Ranked Every Marvel Movie and You Will Disagree,1
Researchers Develop More Efficient Solar Panel Technology,0
The Reason Planes Are Really White Will Blow Your Mind,1
Finance Minister Presents Annual Budget to Legislature,0
Are You Smart Enough to Pass This 5th Grade Test?,1
Hospital Records Milestone of 10000 Successful Surgeries,0
Nobody Expected This Rescue Dog to Do This at the Show,1
Trade Delegation Signs Bilateral Agreement with Partner Nation,0
This Is Why You Should Never Sleep with Your Phone,1
Central Laboratory Validates New Water Purification Method,0
The Real Reason Behind Every Successful Person's Morning Routine,1
National Archives Opens New Digital Collection to Public,0
Stop Everything You Are Doing and Watch This Video,1
Ministry of Education Releases New Curriculum Guidelines,0
Your Brain Does Something Amazing When You Listen to Music,1
Geologists Map Earthquake Fault Lines Across the Region,0
We Gave 100 People the Same Meal and the Results Shocked Us,1
Coastal City Implements New Flood Management Strategy,0
This Abandoned House Hid a Secret for 50 Years,1
Committee Publishes Review of Public Healthcare Spending,0
How One Small Town Solved Its Water Crisis Against All Odds,1
New Agreement Sets Rules for Cross-Border Data Sharing,0
You Will Not Believe How Many Calories Are in This Food,1
Ornithologists Record Rare Bird Migration Patterns This Season,0
This Kid's Talent Is So Incredible It Brought Judges to Tears,1
Regional Airport Expansion Project Gets Final Approval,0
The Surprising Reason Why Successful People Wake Up Early,1
National Statistics Office Releases Annual Population Report,0
This Photo Taken 100 Years Ago Perfectly Describes Today,1
Meteorological Department Issues Monsoon Season Forecast,0
If You Can Read This You Have a Higher IQ Than Most People,1
New Transit Line Reduces Average Commute by 20 Minutes,0
Nobody Noticed This Hidden Detail in the Movie Until Now,1
Food Safety Authority Updates Guidelines for Packaged Foods,0
This Couple's Story Will Restore Your Faith in Humanity,1
Central Bank Governor Testifies Before Finance Committee,0
15 Mistakes Every New Parent Makes and How to Fix Them,1
Scientists Sequence Genome of Previously Unknown Organism,0
The One Question Every Job Interviewer Secretly Wants to Ask,1
Urban Planners Release Draft Design for New City District,0
This Grandmother's Message to Her Family Has Been Shared Millions of Times,1
Agricultural Research Station Develops Drought-Resistant Crop,0
Experts Say You Have Been Washing Your Hair Wrong,1
Diplomatic Talks Resume After Six-Month Pause,0
The Weird Thing That Happens to Your Body When You Drink Coffee,1
National Library Digitizes Thousand-Year-Old Collection,0
Can You Name All 50 States in Under a Minute?,1
Mining Company Releases Environmental Impact Assessment,0
This Baby's Reaction to Hearing Music for the First Time Is Everything,1
New Legislation Expands Parental Leave Entitlements,0
Why Nobody Talks About the Dark Side of Social Media Success,1
Public Works Department Completes Road Resurfacing Project,0
I Read 100 Books This Year and Here Is What Changed,1
National Audit Office Releases Government Spending Review,0
